id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
4caYbCanhI1iKxVsLETOh1	Jesus	Queen	33	0.367	0.747	-7.065	0.172	0.137	1.49e-6	0.181	0.583	115.08	224173
4cKnOBKniYNOEaSd9O41Pk	Keep Passing The Open Windows	The Works	35	0.503	0.798	-6.155	0.0618	0.142	1.06e-4	0.14	0.63	160.787	321040
4Y1pFoYkE9aulSGRD39nqU	Keep Yourself Alive	Queen	42	0.442	0.736	-9.546	0.0744	0.257	7.31e-5	0.157	0.597	134.21	227467
1SH4lUFMH0gp6WFfVb0jYD	Khashoggi's Ship	The Miracle	34	0.485	0.869	-4.544	0.123	0.243	7.09e-5	0.416	0.573	95.154	167667
2AKOOhml62GZNFWDN7VqzT	Killer Queen	Sheer Heart Attack	49	0.535	0.651	-6.326	0.0544	0.391	0	0.133	0.612	117.218	179600
3QfLERjG54GUIAS9w86kul	Las Palabras De Amor (The Words Of Love)	Hot Space	41	0.395	0.558	-7.643	0.0282	0.102	1.09e-6	0.0704	0.132	81.605	271640
1DL2gvMBTCFmg2dREI9Lwp	Lazing On A Sunday Afternoon	A Night At The Opera	44	0.645	0.557	-9.108	0.0535	0.4	0.00183	0.0845	0.703	131.885	67400
16aW2zHbbpDDoSy0HCA8xc	Leaving Home Ain't Easy	Jazz	36	0.518	0.454	-9.208	0.028	0.0531	0	0.112	0.216	107.689	195040
00ITtxUozN0vifE2uYvtqn	Let Me Entertain You	Jazz	41	0.521	0.902	-4.826	0.197	0.0164	0.00105	0.737	0.592	104.708	181693
0l5orJ4UauYhiq0pitl889	Let Me Live	Made In Heaven	41	0.424	0.668	-6.847	0.0314	0.182	0	0.161	0.442	78.502	285973
6wSIhcotMYMwAwcO21uZCl	Liar	Queen	35	0.217	0.784	-7.202	0.153	0.00252	0.0775	0.195	0.27	79.181	383907
6xYHezItSIXOpxMvrVRJTb	Life Is Real (Song For Lennon)	Hot Space	36	0.571	0.447	-8.303	0.0246	0.613	0	0.07	0.345	80.699	211360
3PnczrUPUE8F2gDYw4Eyt5	Lily Of The Valley	Sheer Heart Attack	34	0.339	0.264	-10.012	0.0281	0.628	0	0.148	0.416	78.916	104893
